OBJECTID,NAME,STATESENAT,CONG,STATEREP,ShapeSTArea,ShapeSTLength
1,1066,19,23,118,195964896.996094,85065.0648787325
2,1067,19,23,118,1037444417.89844,173926.54440543
3,1068,19,23,118,399239063.478516,102152.266535767
4,1063,19,23,118,469715895.384766,123224.030460121
5,1065,19,23,118,542497633.794922,125473.640949694
6,1095,19,23,117,171591702.896484,53841.460065912
7,1094,19,20,117,61018403.53125,35009.0790212591
8,1062,19,23,118,211010557.972656,74758.6071950718
9,1075,19,20,117,36666309.1757812,29719.8679535054
10,1061,19,20,117,46531729.4042969,29693.8184500517
11,1039,19,20,117,79973536.7480469,51188.2925799435
12,1058,19,23,118,791009585.019531,120282.859107445
13,1107,19,28,118,431079186.201172,112097.344498928
14,1105,19,23,118,228374906.320312,95469.2328616611
15,1059,19,23,118,340420660.658203,116134.584767902
16,1042,19,20,117,16187883.953125,19483.0004877507
17,1047,19,20,118,22084588.8222656,18693.981467739
18,1048,19,20,118,50435359.203125,31794.771850623
19,1049,19,20,118,24622117.2050781,21705.7540689161
20,4216,19,28,118,392794382.863281,125263.248234262
21,1054,19,28,118,40738137.3359375,41234.8670792898
22,1052,19,28,118,20386745.0175781,21035.1891936205
23,1051,19,28,118,13860353.6660156,16259.6997294867
24,1050,19,28,118,13068696.9707031,15109.6509330838
25,1053,19,28,119,97904717.4628906,43172.5296914401
26,1091,19,28,119,25580282.2402344,39036.5401130608
27,4020,19,28,119,67972541.8261719,39752.5005358818
28,4019,19,28,119,30042961.8417969,28084.812707358
29,1102,19,28,118,261030916.292969,100945.613914792
30,1057,21,28,118,809235049.867188,156620.064912878
31,4215,19,28,118,84860138.2421875,62599.8715393387
32,4200,19,28,119,56527692.6191406,31820.8990476367
33,4073,19,28,118,210030874.294922,58733.2625670278
34,4204,19,28,119,57419491.7304688,42133.493470039
35,4074,21,28,118,473031095.873047,125220.124939491
36,4086,21,28,118,277690849.574219,200165.971654209
37,4121,21,28,118,130880401.429688,62720.7321580725
38,4072,21,28,118,929385324.132812,266944.779407764
39,1081,19,23,118,295648821.476562,92754.0835906839
40,1034,19,23,117,149022597.007812,57317.6888964572
41,1141,19,20,117,79565909.5976562,50939.0452306712
42,1151,19,20,117,141906701.623047,51651.7932298757
43,1100,26,20,124,27794341.9882812,27273.6471046406
44,1083,26,20,124,19140358.3144531,18664.5647181746
45,1156,19,20,117,18291626.9296875,20820.2792033597
46,1069,19,20,117,44139937.8027344,50138.6427881986
47,1093,19,20,124,69630833.4394531,37824.3980413488
48,1109,19,20,124,8043964.71875,12027.7542035524
49,2125,19,20,125,56693601.6503906,39172.6879240508
50,2147,19,20,125,4592050.75390625,10857.3698816567
51,3003,19,23,122,52717475.734375,40009.7218428111
52,2160,19,23,122,518392004.304688,199535.461614202
53,1155,26,20,117,22528923.2109375,22566.3847958635
54,1112,26,20,124,27525303.7773438,32679.3116842599
55,1076,26,20,124,21756408.3046875,21490.1654470032
56,1071,26,20,124,16318103.1230469,17114.0249747026
57,1036,19,23,117,36694905.7675781,33982.8083469042
58,3200,19,20,116,963965.609375,4046.42433756028
59,1012,26,23,124,21564508.484375,19106.3712499171
60,1070,26,23,124,13089113.8261719,16721.7327165244
61,1085,26,20,124,17079220.9355469,18533.9572813041
62,1043,26,20,124,12525692.8886719,14692.3590340282
63,1086,26,20,124,22048949.9121094,21331.2467783508
64,1002,26,20,124,4242833.34375,9039.50094285516
65,1079,26,20,124,22680621.0722656,21611.0842038067
66,1024,26,20,124,21068564.9765625,19129.9480827215
67,1113,19,20,124,59092622.8867188,32232.9533342636
68,1111,19,20,124,40723916.9140625,31088.3884954556
69,1080,26,23,124,26530751.0253906,25273.3454743025
70,1149,26,20,124,20794119.8554688,20402.7657477388
71,1087,26,20,124,38507135.8710938,35993.4418700963
72,1072,26,20,124,11292435.4667969,15030.9945818167
73,1104,26,20,124,19404011.5996094,19481.8567680025
74,1055,19,20,124,18286440.2519531,20512.7778691738
75,2068,26,20,125,27635287.7402344,29649.6279959774
76,2069,26,20,124,35507262.8652344,31800.455691171
77,2077,26,20,125,29078576.15625,25607.0543869168
78,1035,19,23,124,175522286.982422,72380.6608648147
79,1038,19,20,117,39940109.3691406,36180.0200297383
80,1037,19,20,117,23038849.8378906,23711.8320568281
81,1084,26,20,124,21520427.4726562,20341.8363150326
82,1033,19,23,117,38475434.75,57010.579263499
83,2044,26,20,124,85086585.5078125,37396.7389689229
84,1030,19,23,124,130906351.931641,76701.6792543067
85,4045,26,35,120,43143209.8066406,39413.3679180553
86,4042,19,35,120,52844890.7402344,47058.6385249584
87,4080,19,35,120,24671415.5234375,29103.6961853838
88,4182,26,35,120,1117310.8828125,21388.8504053434
89,4106,26,35,120,43960793.7246094,37304.5669007221
90,4063,26,35,120,25678877.9433594,24672.0825260437
91,4064,19,35,120,28181969.5039062,26640.0320084974
92,4085,19,28,118,49516773.3046875,43484.2958910562
93,4065,19,35,120,14730422.4199219,19011.7943978644
94,4160,19,35,120,12775189.0292969,15454.7425737891
95,4156,26,35,120,31051920.0742188,33816.5453482907
96,4143,19,35,120,46030342.9921875,38689.8392146218
97,4101,19,28,119,492602103.820312,124532.572496274
98,4109,19,35,119,38311040.5234375,31716.7566257294
99,4068,19,35,119,62269087.3242188,68997.5237423469
100,4139,25,35,120,1448882.546875,4734.24628756078
101,4046,25,21,121,25440271.5878906,22514.2030831901
102,3118,25,21,121,13568442.2070312,18253.3989768703
103,4047,26,35,120,37754793.65625,33261.5273150771
104,4102,26,35,121,7482502.78710938,16632.860898643
105,4181,26,35,121,4548011.79296875,10931.8178991642
106,3159,25,35,121,29539757.890625,23600.0367868852
107,3122,25,21,121,28079782.8554688,22893.8595913272
108,3001,25,21,121,80890764.015625,38500.9614739919
109,3154,25,21,121,11064474.625,16980.0084174878
110,3083,25,21,121,23346099.0371094,19875.3419014204
111,3085,25,21,121,8540025.56640625,16270.1170358092
112,3180,25,21,121,24002274.0859375,21548.6891556734
113,3120,25,21,121,48979428.7382812,29058.3815387656
114,3104,25,21,121,18425555.8398438,17529.3639507586
115,1145,19,23,117,69793870.2285156,51872.3923267154
116,3039,25,23,121,43846427.6484375,32819.6862148836
117,3153,25,21,121,12067630.1914062,28214.7458834917
118,3059,25,21,121,39920837.2832031,30647.8067032064
119,3090,25,21,121,37262520.1015625,39402.8460739673
120,4024,19,28,119,22586793.1972656,24017.1710725845
121,4033,19,28,119,78966188.9140625,44258.6169542281
122,4037,19,28,120,27674215.6757812,31641.906974082
123,4039,19,28,120,23559075.9160156,25928.3369872541
124,4034,19,28,119,44950129.8984375,32691.9395823108
125,4036,19,28,120,42383331.3632812,32952.6830119013
126,4041,19,28,120,32574877.5449219,39895.8441337558
127,4062,19,28,119,22798186.9316406,20876.430688873
128,4077,19,28,119,80331943.3808594,59516.0228973219
129,4070,19,28,120,24928267.5058594,29005.8663313974
130,4167,19,28,120,48208116.3125,34333.453322961
131,4040,19,35,120,102727138.871094,53814.2629481435
132,4082,19,35,120,43569874.0957031,36992.4190962439
133,4125,26,35,120,467645.87890625,3420.57782209899
134,4035,26,35,120,257819.5390625,2256.9894426797
135,4044,26,35,120,16307389.7363281,23813.9488134555
136,4071,19,28,118,714592372.873047,144254.903069138
137,4043,19,35,119,43058995.3007812,39313.9587055919
138,4058,19,28,118,31240612.7519531,30712.5838562237
139,4081,19,28,118,114231802.384766,49583.5853656228
140,4087,19,35,119,223134970.054688,76425.2243004758
141,4126,19,28,118,292818779.425781,142768.026230535
142,3058,26,20,116,39833754.7714844,27756.3797454142
143,3056,26,20,116,24407675.2011719,23568.7502169046
144,3073,26,23,122,25111121.875,20944.2726156325
145,3074,26,23,122,35999127.1972656,31852.0068847855
146,3142,26,20,116,9474111.90625,14621.9416218381
147,3126,25,23,122,879198786.232422,159133.981473881
148,3096,25,23,122,224464408.259766,72261.0665909243
149,3174,25,23,122,98863347.4257812,55047.6284713615
150,3055,25,23,122,250800920.863281,79994.2296246401
151,3017,25,23,122,94187239.2011719,59367.592907182
152,3034,25,23,122,55371744.9863281,39686.5817520507
153,3094,25,23,122,288286175.636719,136729.032793287
154,3097,25,23,122,1325979284.60547,185660.107088436
155,1040,19,20,117,30500528.7324219,30337.2395401005
156,1090,19,20,124,148356.125,2032.41487785306
157,1096,26,20,124,1581454.76953125,6273.27452542531
158,1026,19,20,117,47282483.2128906,30408.3767664467
159,1013,26,20,119,28067547.0859375,24671.1098280255
160,1029,26,20,124,25960466.34375,26813.9876681516
161,2017,26,20,124,7859008.22070312,11568.671610034
162,1088,26,20,124,13547663.5546875,15354.0641551072
163,1078,26,20,119,5159070.42578125,9743.36365781473
164,2029,26,35,124,9266052.953125,13200.7004282869
165,2030,26,20,124,15391510.9160156,17524.4242916949
166,2103,26,20,116,2905146.16992188,7142.94544027526
167,2071,26,35,123,4840360.56835938,8997.24970071182
168,2008,26,35,116,11884623.9785156,15400.5430753089
169,1022,19,20,117,10469467.5546875,14227.6452089549
170,1143,19,20,117,31895906.3613281,28765.8162923572
171,2075,26,35,116,8649625.4609375,12038.9226465047
172,1023,19,20,117,17401705.8945312,17893.3461025919
173,1014,19,20,117,10160404.0332031,13199.0116685428
174,1007,26,20,119,8213007.46875,12075.4761944949
175,1015,19,20,117,10271892.6132812,14596.7648144973
176,1021,19,20,119,16623150.0820312,18001.4121706565
177,1016,19,20,119,9461209.984375,13076.6288880109
178,1097,19,20,119,7843383.57617188,16992.8630681742
179,1006,26,20,119,16734880.4785156,18578.6458453429
180,1005,26,20,119,9139923.53515625,14617.4141607586
181,2032,26,35,124,4603052.90039062,10117.7197295286
182,1077,26,20,119,9412360.6015625,13302.0832667351
183,2018,26,35,123,8865138.74414062,13810.160555582
184,2031,26,35,123,13687653.59375,15838.6867696335
185,2079,26,35,123,5089027.4765625,9294.42918891517
186,2070,26,35,123,17374703.0332031,17429.7661309175
187,2002,26,35,123,10163712.0078125,13429.2613757598
188,1098,26,35,123,14692808.3515625,16945.8263844612
189,2001,26,35,123,13349949.3457031,15167.9428822607
190,1001,26,35,123,8954716.9375,13416.9036474524
191,2016,26,20,125,8705871.16210938,11999.6395989492
192,2015,26,20,125,22313849.328125,20799.6256508766
193,2074,26,20,125,8231921.640625,11562.9756769785
194,2014,26,20,116,9371575.16210938,12318.4322936551
195,2011,26,20,116,17092551.6777344,16969.2813236793
196,2012,26,20,125,18056748.8945312,21431.5717069
197,2013,26,20,116,11929133.9492188,15762.743391923
198,2025,26,20,116,27963844.7949219,22199.1205017944
199,2081,26,20,116,11674062.2148438,18149.0735518755
200,2028,26,20,116,18067308.1894531,21111.3533047908
201,2111,26,20,116,15446158.3339844,18328.7739903031
202,2083,26,20,116,6591991.23632812,12122.1292375551
203,2046,26,20,116,15835564.7851562,17450.8427564022
204,2047,26,20,116,10255856.0429688,16864.4697342874
205,2060,26,20,116,12709666.53125,18208.1495740991
206,2062,26,20,123,14484016.3828125,15279.8214378741
207,2007,26,35,116,12784220.6992188,15955.2083529115
208,2003,26,35,116,16765242.5019531,16565.0507551719
209,2005,26,35,116,11092094.0136719,17207.4111579123
210,2004,26,35,116,25820548.2402344,28016.2342425299
211,2104,26,35,123,2244115.63085938,8336.37852032188
212,2033,26,35,123,11420234.9707031,14860.4042945586
213,2034,26,35,123,10635221.1269531,13531.5387551918
214,4015,26,35,123,20195553.8339844,19820.7815076686
215,2045,26,20,116,7169545.90234375,13174.6943180092
216,2039,26,35,123,11034246.8222656,15929.6497561034
217,2048,26,20,116,12809473.1816406,15638.4103488774
218,2059,26,20,116,22909507.7910156,22803.7158439882
219,2085,26,20,123,11617262.7988281,14725.7014410235
220,2058,26,20,123,15997908.4003906,23982.5516129664
221,4157,26,35,123,12788788.9179688,15343.0267546539
222,2052,26,35,123,9233821.13671875,12805.0489240725
223,4155,26,35,123,14422922.8066406,16023.4941071537
224,2053,26,35,123,11099377.1621094,13645.5948448952
225,2057,26,20,123,17737715.8125,21154.7566684564
226,2056,26,20,123,10412718.25,13053.4467893174
227,1115,19,28,118,11781353.7558594,14434.4355302956
228,1018,19,20,119,7331535.68554688,13446.5500984675
229,2141,26,20,125,8996126.44335938,13813.6207126271
230,1017,19,28,119,14499666.0195312,19790.8471587366
231,1028,19,20,119,6884085.453125,11483.9707144614
232,1004,26,20,119,17818258.3476562,18535.7941433753
233,1019,19,28,119,33037069.8457031,24870.0574101302
234,4048,26,28,119,22499995.3203125,22202.3963787767
235,1003,26,35,123,23805586.7675781,22738.1660336708
236,4018,26,35,123,8280664.77539062,12536.8583690976
237,1010,26,28,123,7464542.06054688,11469.1041501525
238,4014,26,28,123,8140029.34960938,11576.2536560612
239,1008,26,35,123,12705176.4472656,18115.1362304852
240,4075,26,28,123,11131924.6191406,15241.511502487
241,4004,19,28,120,7714910.66210938,17447.2834386675
242,4124,19,28,119,39554481.6582031,33220.5937775586
243,4026,26,28,119,42201357.9199219,33551.1336528974
244,4016,26,28,119,19214591.8535156,19262.7425031217
245,4027,26,28,119,10862753.2402344,13746.0429005131
246,4025,19,28,119,13119998.28125,16095.5675127434
247,4032,19,28,119,14975285.0449219,18023.5649651592
248,4031,19,28,119,25698972.4414062,22708.4565748361
249,4013,26,28,119,8829384.26171875,12565.9259500948
250,4002,26,28,123,8952781.08203125,13305.2392486779
251,4028,26,28,119,16487338.0253906,16688.7668509555
252,4029,26,28,119,20983242.4375,18360.6355354611
253,4003,19,28,120,19830279.5449219,20530.853985622
254,4012,19,28,120,12820108.9492188,16040.1355744154
255,4011,19,28,120,11761962.4980469,15580.6472726592
256,4030,19,28,120,8005847.17578125,14007.2792766148
257,4001,26,35,123,29368968.1972656,32193.22214738
258,4017,26,35,123,23269070.8378906,22123.3632424119
259,2143,26,20,125,22751394.7285156,23549.1144350235
260,2095,26,20,116,16778191.2597656,18853.8636229191
261,2164,26,20,125,13809311.5839844,20933.9660112767
262,2168,26,20,116,8064929.81445312,14297.8356818499
263,2096,26,20,116,13894037.2792969,19350.7364407743
264,2166,26,20,125,24319049.6425781,24151.9249960248
265,2163,26,20,125,19121444.796875,18974.021558435
266,3109,19,20,116,20948155.4550781,26453.1085104161
267,3172,26,20,116,5575345.83203125,15215.8505692404
268,2174,26,20,125,24263190.1542969,20502.1672788943
269,3035,26,20,116,35161638.9121094,26052.3521678731
270,2169,26,20,116,12004283.7441406,20607.4116924641
271,2173,26,20,116,9455633.65820312,13955.5697240199
272,2091,26,20,116,13121654.0253906,15068.3832259271
273,2172,26,20,116,3228717.36914062,7372.22483961201
274,2110,26,20,116,20102600.6582031,30423.5381022276
275,2149,26,20,116,31017119.4335938,32490.8010835761
276,2175,26,20,116,23820668.9746094,25089.2349000861
277,3146,26,20,116,37881798.875,33533.0657491134
278,3113,26,20,116,6264737.58984375,10872.7633232994
279,3149,26,20,116,44713786.4570312,33506.2740945665
280,3143,26,20,116,9835620.8359375,12949.8415701443
281,3036,19,20,116,39784214.1796875,31744.3423789595
282,3029,26,20,116,18498937.0253906,21429.0281773569
283,3095,19,20,116,83714047.2792969,38724.2876288869
284,4091,26,35,120,8828504.22070312,13977.1983091493
285,2124,26,20,116,12932832.1308594,15876.4879834334
286,3164,25,21,121,140770070.21875,68258.8597735528
287,2134,26,20,116,13527830.5703125,16003.9884665988
288,2148,26,20,116,26523258.4902344,31831.5046936288
289,2009,26,20,116,15332070.1601562,18463.7613029767
290,3167,26,21,123,3798437.16992188,10374.7346243734
291,2064,26,20,123,16821130.8710938,23040.3165677621
292,3015,26,21,123,19370554.7460938,18635.8484606701
293,3182,26,21,123,7467487.5546875,13043.1698325389
294,3071,26,20,123,21083464.1054688,23019.937917573
295,3013,26,21,123,15009038.0117188,16554.1835393032
296,3112,26,20,116,9956976.14453125,13557.4453247756
297,3115,26,23,122,26176066.6035156,22238.0530551835
298,3166,26,21,123,8822046.57421875,15045.7411034908
299,3006,26,21,123,12246282.8554688,15723.2163199601
300,3069,26,21,123,27951099.5234375,23647.4203389462
301,2073,26,20,123,8133662.36523438,11566.4175207672
302,2080,26,20,123,9818114.6953125,14465.9969039522
303,2114,26,20,123,17026489.3632812,18782.6126581353
304,2100,26,20,123,13646023.0449219,21950.269041416
305,3171,26,21,123,458318.9453125,2591.02662232867
306,2082,26,20,123,18551591.4296875,22109.5071149147
307,3038,26,21,123,14918094.984375,19322.9230864518
308,2137,26,20,123,18422836.1953125,21279.3680822435
309,3067,26,21,123,43415412.5566406,28806.1377891924
310,3161,26,21,123,27748007.6972656,25127.3457957743
311,3068,26,21,123,16004227.65625,16941.1702091977
312,3066,26,21,123,20175063.2128906,20768.731821953
313,2092,26,21,123,3086782.7890625,7124.48736078268
314,3014,26,21,123,4715809.93359375,12749.0436812531
315,3132,26,21,123,10225385.4765625,20801.9678065629
316,3075,25,23,122,88562606.0292969,45869.0728703874
317,3070,26,21,122,23135565.6425781,19785.1957198443
318,3086,26,21,122,12340609.6484375,15432.9686030439
319,3130,25,23,122,23391631.5214844,37190.5530042522
320,3145,25,23,122,93520607.1523438,43096.4536311144
321,3077,26,21,123,22893560.4238281,24902.6353615454
322,3044,26,21,123,18146950.7773438,21477.9456261582
323,3078,26,21,123,21552811.4570312,27267.2726135292
324,3119,26,21,123,21980207.1347656,23112.58492772
325,3076,25,23,122,13047002.2910156,17402.3883405373
326,3030,25,23,122,17999897.8847656,22320.5380342852
327,3045,25,23,122,19241547.25,20597.4021867057
328,3102,25,21,122,38499604.3359375,35439.1746160218
329,3033,25,23,122,31353671.625,22637.4391689129
330,2038,26,20,123,30614888.1484375,23570.486477808
331,2138,26,20,123,14136371.1640625,16578.628351987
332,1031,26,20,124,25536818.484375,30845.0065159387
333,2043,26,20,124,18248242.0917969,21777.5958953726
334,1032,26,20,124,21879226.0878906,24866.4107691071
335,2019,26,20,124,11172185.3398438,18096.868681839
336,2049,26,20,125,94347492.3984375,39954.5150620827
337,2140,26,20,124,28482714.4980469,31625.0877964318
338,2090,26,20,125,27588069.2617188,29442.6463708177
339,2050,26,20,125,20659785.75,29902.4514489115
340,2061,26,20,125,27668309.3085938,38643.3403980651
341,3192,25,23,122,474719.9921875,3426.29330395003
342,3042,25,23,122,26743606.8066406,30911.5587552777
343,3193,25,21,122,2968319.22851562,10781.1568867495
344,3194,25,23,122,81167018.9902344,73470.0266258615
345,2020,26,20,124,66112376.4277344,46955.3913523395
346,2128,26,20,125,22830267.2265625,19788.0847619143
347,2042,26,20,125,18767086.8085938,20213.7506770904
348,2021,26,20,125,22298477.7480469,19485.8791884585
349,2022,26,20,125,13852435.8769531,15275.0383493923
350,2023,26,20,125,20164779.6269531,19445.5579893414
351,2041,26,20,125,20119871.8710938,19977.5269451323
352,2040,26,20,125,33926278.4277344,23548.4766076499
353,2151,26,20,125,3047156.85546875,8234.22856716053
354,2142,26,20,116,12343206.1796875,23351.4468178654
355,2024,26,20,125,23476890.2832031,23657.9066721055
356,2026,26,20,116,21714281.3632812,21788.0646857271
357,2027,26,20,116,14339636.1152344,15517.7310016852
358,2098,26,20,125,18069892.9140625,17871.3463660896
359,2078,26,20,125,14386189.015625,16489.4880229144
360,2097,26,20,125,24503174.3261719,30561.6875904289
361,2088,26,20,125,24620973.8007812,26387.4581547421
362,2102,26,20,125,14726779.2050781,22137.7265840835
363,2127,26,20,125,13038650.2324219,16693.8480893369
364,2072,26,20,125,16911546.9257812,20407.1879315779
365,2087,26,20,125,12734871.8261719,16215.6978196172
366,2123,19,23,122,30226960.8027344,47884.8133916706
367,2076,26,23,125,16356664.0507812,22941.0666829319
368,2139,19,23,125,13186596.7285156,15830.8472206771
369,2066,19,23,125,27809654.1386719,22454.2130826326
370,2145,26,20,125,2606549.38085938,7549.67509694284
371,2130,26,20,125,12936442.9101562,19949.9180157519
372,2126,26,20,125,35447174.2675781,33611.9868473697
373,2086,26,20,125,31571288.0605469,28329.9546613327
374,2084,26,23,125,30914204.8320312,22723.2144223184
375,2099,19,23,125,9506655.609375,14752.098323682
376,2170,19,20,125,37237759.7636719,24513.1304603819
377,2161,26,23,125,8156770.421875,15157.4208803891
378,2037,26,23,125,12175167.6269531,17443.6922073221
379,2165,19,20,125,17244404.96875,17813.9460954302
380,3106,19,23,122,72052709.0722656,65596.5651569902
381,3101,19,23,122,35076977.6484375,45592.7770537706
382,3009,25,23,122,17874118.5214844,20136.0276658741
383,3134,19,20,116,36690335.0683594,35849.876381051
384,3129,19,20,116,30570385.4511719,28720.0529829772
385,3098,19,23,122,33107273.8339844,29414.6250745213
386,2112,26,20,125,24870099.4023438,31876.8374637509
387,2171,26,20,125,12221618.3496094,14976.7407832284
388,3087,25,21,118,30848979.125,33717.6414240357
